DateTime,Date,Time,Hour,Minute,DayOfWeek,DayOfMonth,BarInSession,Open,High,Low,Close,Volume,BarDirection,BodySize,UpperWick,LowerWick,BarRange,VWAP,VWAP_SD1_Upper,VWAP_SD1_Lower,VWAP_SD2_Upper,VWAP_SD2_Lower,VWAP_SD3_Upper,VWAP_SD3_Lower,VWAP_ZScore,CumDelta_Close,CumDelta_High,CumDelta_Low,ATR_14,ATR_5,ADX_14,RSI_14,EMA_9,EMA_21,SMA_50,SMA_200,SessionHigh,SessionLow,SessionOpen,SessionRange,SessionPosition,DistFromHigh,DistFromLow,ConsecUpBars,ConsecDownBars,IsNewSession,AsiaHigh,AsiaLow,AsiaRange,AsiaClose,LondonHigh,LondonLow,LondonRange,LondonClose,OR_High,OR_Low,OR_Complete,OR_Direction,PrevDayHigh,PrevDayLow,PrevDayClose,GapFromPrevClose,Close_5m,Close_15m,Close_60m,Close_Daily,High_5m,IsEndOfMonth,IsQuarterEnd,DailyVolume
2006-01-05 11:39:00,2006-01-05,11:39,11,39,4,5,12,4802.50,4803.00,4802.00,4803.00,388,1,0.50,0.00,0.50,1.00,4802.91,4803.33,4802.48,4803.75,4802.06,4804.17,4801.64,0.2249,0,0,0,0.78,0.83,23.87,49.71,4802.82,4803.02,4803.25,4800.17,4804.00,0.00,0.00,4804.00,0.9998,1.00,4803.00,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,2458
2006-01-05 11:40:00,2006-01-05,11:40,11,40,4,5,13,4803.00,4803.00,4802.00,4802.00,856,-1,1.00,0.00,0.00,1.00,4802.76,4803.20,4802.32,4803.64,4801.87,4804.08,4801.43,-1.7161,0,0,0,0.80,0.86,24.93,42.77,4802.66,4802.92,4803.26,4800.20,4804.00,0.00,0.00,4804.00,0.9996,2.00,4802.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.00,4802.50,4804.00,0.00,4803.00,0,0,3314
2006-01-05 11:41:00,2006-01-05,11:41,11,41,4,5,14,4801.50,4802.50,4801.50,4802.00,327,1,0.50,0.50,0.00,1.00,4802.69,4803.16,4802.22,4803.64,4801.74,4804.11,4801.27,-1.4560,0,0,0,0.81,0.89,26.38,42.77,4802.53,4802.84,4803.27,4800.23,4804.00,0.00,0.00,4804.00,0.9996,2.00,4802.00,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.00,4802.50,4804.00,0.00,4803.00,0,0,3641
2006-01-05 11:42:00,2006-01-05,11:42,11,42,4,5,15,4802.00,4802.00,4802.00,4802.00,286,0,0.00,0.00,0.00,0.00,4802.64,4803.13,4802.15,4803.62,4801.66,4804.11,4801.17,-1.3048,0,0,0,0.76,0.71,27.73,42.77,4802.42,4802.76,4803.26,4800.25,4804.00,0.00,0.00,4804.00,0.9996,2.00,4802.00,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.00,4802.50,4804.00,0.00,4803.00,0,0,3927
2006-01-05 11:43:00,2006-01-05,11:43,11,43,4,5,16,4802.50,4802.50,4802.00,4802.00,165,-1,0.50,0.00,0.00,0.50,4802.62,4803.11,4802.13,4803.60,4801.64,4804.09,4801.15,-1.2687,0,0,0,0.74,0.67,27.83,42.77,4802.34,4802.69,4803.25,4800.28,4804.00,0.00,0.00,4804.00,0.9996,2.00,4802.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.00,4802.50,4804.00,0.00,4803.00,0,0,4092
2006-01-05 11:44:00,2006-01-05,11:44,11,44,4,5,17,4802.00,4802.00,4801.50,4801.50,456,-1,0.50,0.00,0.00,0.50,4802.52,4803.07,4801.98,4803.61,4801.43,4804.16,4800.89,-1.8801,0,0,0,0.72,0.64,28.46,39.10,4802.17,4802.59,4803.21,4800.31,4804.00,0.00,0.00,4804.00,0.9995,2.50,4801.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.00,4802.50,4804.00,0.00,4803.00,0,0,4548
2006-01-05 11:45:00,2006-01-05,11:45,11,45,4,5,18,4801.50,4802.00,4801.00,4801.50,514,0,0.00,0.50,0.50,1.00,4802.42,4803.02,4801.82,4803.62,4801.22,4804.23,4800.61,-1.5287,0,0,0,0.74,0.71,29.52,39.10,4802.04,4802.49,4803.16,4800.33,4804.00,0.00,0.00,4804.00,0.9995,2.50,4801.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.50,4801.50,4804.00,0.00,4802.50,0,0,5062
2006-01-05 11:46:00,2006-01-05,11:46,11,46,4,5,19,4801.00,4801.50,4798.50,4799.50,2188,-1,1.50,0.50,1.00,3.00,4801.64,4802.93,4800.35,4804.22,4799.06,4805.51,4797.77,-1.6590,0,0,0,0.90,1.17,31.95,27.96,4801.53,4802.22,4803.08,4800.35,4804.00,0.00,0.00,4804.00,0.9991,4.50,4799.50,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.50,4801.50,4804.00,0.00,4802.50,0,0,7250
2006-01-05 11:47:00,2006-01-05,11:47,11,47,4,5,20,4800.00,4800.50,4799.00,4800.00,875,0,0.00,0.50,1.00,1.50,4801.45,4802.79,4800.10,4804.13,4798.76,4805.47,4797.42,-1.0778,0,0,0,0.94,1.23,34.20,33.09,4801.22,4802.01,4803.02,4800.37,4804.00,0.00,0.00,4804.00,0.9992,4.00,4800.00,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.50,4801.50,4804.00,0.00,4802.50,0,0,8125
2006-01-05 11:48:00,2006-01-05,11:48,11,48,4,5,21,4800.00,4800.50,4799.50,4800.00,349,0,0.00,0.50,0.50,1.00,4801.39,4802.73,4800.04,4804.07,4798.70,4805.42,4797.35,-1.0310,0,0,0,0.95,1.19,36.29,33.09,4800.98,4801.83,4802.96,4800.39,4804.00,0.00,0.00,4804.00,0.9992,4.00,4800.00,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4801.50,4801.50,4804.00,0.00,4802.50,0,0,8474
